facility,valid_days,training_daily_mean,training_coverage,eligible,selection_hash,selected
335162,275,2.5154545454545456,1.0,True,de33cc92b1fa13773fa8667b2bf90f1660f22ad68e1993cb3b56163a5fcf4ee6,False
335163,275,62.152981818181814,1.0,True,182fe70fb4f68524952d60e13ecd63813232c69a6098c2322d04f67cf3931d02,False
335164,275,0.0,1.0,True,24cedc8f511eb775cd4d4992e123d16944a7db93a712b626461c620863d6ea57,False
335165,275,77.04254545454546,1.0,True,e5f1b532141a3feb3427ab06dae45aa23362012a81e2375b63c9b15f9eb1f464,False
335168,275,69.48930909090909,1.0,True,119910e9b4d4b6d8e50ab7cefa40693c04d14abde57533be3eecd39f757d7419,True
335172,275,26.978036363636363,1.0,True,87a5637351bbec4b721c9add7548f5f4cda583d65e9cd8312db099edae67cab2,False
335174,275,4.820981818181818,1.0,True,748403a2a6d0943d03eef96a6fa55603bce29baf23506c53a6f65e89a0ec46c6,False
335175,275,171.6806909090909,1.0,True,064e9bda46acacfad64fc39635b8119bf2a1c875ab4b9974250b0aaebfd19c90,True
335176,91,1.9230769230769231,0.33090909090909093,False,978f7031aea5e113b6c542c6b7a793cc13d1bdaaf476972719d64a5d9dfc206c,False
335178,275,242.88559999999998,1.0,True,1fe9e9189dcc8e9427bcf45e707557a5f64c2774a3bd0ff3fbaca0339ced81cd,False
335180,275,0.6162909090909091,1.0,True,485a70c9df771d44f51c3cbcc5e3e6abe30f6a55506a0504fe0d3a71ff116118,False
335182,275,42.6968,1.0,True,4177772f672e163b4c264db5bca350c100c1d868c1a99d7dc8d83a4249461817,False
335184,275,129.97036363636363,1.0,True,fe750fa77a7c42edc471efe7247d6e401144568bd5c64b20319d9409c5b2b220,False
335185,275,93.43541818181819,1.0,True,9f58ef90362d418e76a573d9f5023f0080ef8489f3f897644d3d813749f62504,False
335187,275,99.80047272727273,1.0,True,0e9ab4a8d4db75bc1621c43c5c4ed17c031dc273055b653d127c2861505cdb8b,True
335188,275,14.647272727272727,1.0,True,6d372e9a0240387444cc2f7033a2fb7795d9efb2f1318d0b4558d2ef05d23f9a,False
335190,275,0.0,1.0,True,1aae3126ff6a3a14880d9fe9c5fe8828c6dcc6fba09135052793c7f462b65337,False
